Year,Time,Athlete,Place,Name
1972,10.07,Valeriy Borzov (URS),Munich,1972: Valeriy Borzov (URS)
1973,10.15,Steve Williams (USA),Dakar,1973: Steve Williams (USA)
1974,9.9,Steve Williams (USA),Los Angeles,1974: Steve Williams (USA)
1975,10.05,Steve Riddick (USA),Zürich,1975: Steve Riddick (USA)
1976,10.06,Hasely Crawford (TRI),Montreal,1976: Hasely Crawford (TRI)
1977,9.98,Silvio Leonard (CUB),Guadalajara,1977: Silvio Leonard (CUB)
1978,10.07,Clancy Edwards (USA),Eugene,1978: Clancy Edwards (USA)
1978,10.07,Eddie Hart (USA),Colorado Springs,1978: Eddie Hart (USA)
1978,10.07,Steve Williams (USA),Zürich,1978: Steve Williams (USA)
1979,10.01,Pietro Mennea (ITA),Mexico City,1979: Pietro Mennea (ITA)
1980,10.02,James Sanford (USA),Westwood,1980: James Sanford (USA)
1981,10.0,Carl Lewis (USA),Dallas,1981: Carl Lewis (USA)
1982,10.0,Carl Lewis (USA),Modesto,1982: Carl Lewis (USA)
1983,9.93,Calvin Smith (USA),Colorado Springs,1983: Calvin Smith (USA)
1984,9.96,Mel Lattany (USA),Athens,1984: Mel Lattany (USA)
1985,9.98,Carl Lewis (USA),Modesto,1985: Carl Lewis (USA)
1986,10.0,Chidi Imoh (NGR),Berlin,1986: Chidi Imoh (NGR)
1987,9.93,Carl Lewis (USA),Rome,1987: Carl Lewis (USA)
1988,9.92,Carl Lewis (USA),Seoul,1988: Carl Lewis (USA)
1989,9.94,Leroy Burrell (USA),Houston,1989: Leroy Burrell (USA)
1990,9.96,Leroy Burrell (USA),Villeneuve d'Ascq,1990: Leroy Burrell (USA)
1990,9.96,Leroy Burrell (USA),Sestriere,1990: Leroy Burrell (USA)
1991,9.86,Carl Lewis (USA),Tokyo,1991: Carl Lewis (USA)
1992,9.93,Michael Marsh (USA),Walnut,1992: Michael Marsh (USA)
1993,9.87,Linford Christie (GBR),Stuttgart,1993: Linford Christie (GBR)
1994,9.85,Leroy Burrell (USA),Lausanne,1994: Leroy Burrell (USA)
1995,9.91,Donovan Bailey (CAN),Montreal,1995: Donovan Bailey (CAN)
1996,9.84,Donovan Bailey (CAN),Atlanta,1996: Donovan Bailey (CAN)
1997,9.86,Maurice Greene (USA),Athens,1997: Maurice Greene (USA)
1998,9.86,Ato Boldon (TRI),Walnut,1998: Ato Boldon (TRI)
1998,9.86,Ato Boldon (TRI),Athens,1998: Ato Boldon (TRI)
1999,9.79,Maurice Greene (USA),Athens,1999: Maurice Greene (USA)
2000,9.86,Maurice Greene (USA),Berlin,2000: Maurice Greene (USA)
2001,9.82,Maurice Greene (USA),Edmonton,2001: Maurice Greene (USA)
2002,9.89,Maurice Greene (USA),Rome,2002: Maurice Greene (USA)
2003,9.93,Patrick Johnson (AUS),Mito,2003: Patrick Johnson (AUS)
2004,9.85,Justin Gatlin (USA),Athens,2004: Justin Gatlin (USA)
2005,9.77,Asafa Powell (JAM),Athens,2005: Asafa Powell (JAM)
2006,9.77,Asafa Powell (JAM),Gateshead,2006: Asafa Powell (JAM)
2006,9.77,Asafa Powell (JAM),Zürich,2006: Asafa Powell (JAM)
2007,9.74,Asafa Powell (JAM),Rieti,2007: Asafa Powell (JAM)
2008,9.69,Usain Bolt (JAM),Beijing,2008: Usain Bolt (JAM)
2009,9.58,Usain Bolt (JAM),Berlin,2009: Usain Bolt (JAM)
2010,9.78,Tyson Gay (USA),London,2010: Tyson Gay (USA)
2010,9.78,Nesta Carter (JAM),Rieti,2010: Nesta Carter (JAM)
2011,9.76,Usain Bolt (JAM),Brussels,2011: Usain Bolt (JAM)
2012,9.63,Usain Bolt (JAM),London,2012: Usain Bolt (JAM)
2013,9.77,Usain Bolt (JAM),Moscow,2013: Usain Bolt (JAM)
2014,9.77,Justin Gatlin (USA),Brussels,2014: Justin Gatlin (USA)
2015,9.74,Justin Gatlin (USA),Doha,2015: Justin Gatlin (USA)
2016,9.8,Justin Gatlin (USA),Eugene,2016: Justin Gatlin (USA)
2017,9.82,Christian Coleman (USA),Eugene,2017: Christian Coleman (USA)
2018,9.79,Christian Coleman (USA),Brussels,2018: Christian Coleman (USA)
2019,9.76,Christian Coleman (USA),Doha,2019: Christian Coleman (USA)
2020,9.86,Michael Norman (USA),Fort Worth,2020: Michael Norman (USA)
2021,9.76,Trayvon Bromell (USA),Nairobi,2021: Trayvon Bromell (USA)
2022,9.76,Fred Kerley (USA),Eugene,2022: Fred Kerley (USA)
